CASEID,age,sex,education,weekly_working_hours,salary
2500,40-49,Male,Non-university postsecondary certificate or diploma,36,85000
2500,20-29,Female,Graduated high school or partial postsecondary education,7.5,21000
2500,20-29,Female,Graduated high school or partial postsecondary education,36.5,18500
2501,40-49,Female,Non-university postsecondary certificate or diploma,20,18500
2501,40-49,Male,Non-university postsecondary certificate or diploma,50,0
2501,30-39,Male,Non-university postsecondary certificate or diploma,50,0
2502,40-49,Female,Non-university postsecondary certificate or diploma,4,575
2502,40-49,Male,University degree or certificate,50,190000
2502,16-19,Female,Graduated high school or partial postsecondary education,20,225
2508,50-59,Male,Less than high school graduation,74,0
2508,20-29,Male,Less than high school graduation,74,0
2508,20-29,Male,Less than high school graduation,74,0
2509,40-49,Male,Non-university postsecondary certificate or diploma,40,14000
2509,40-49,Female,Non-university postsecondary certificate or diploma,40,23000
2511,40-49,Male,University degree or certificate,40,165000
2512,40-49,Male,University degree or certificate,40,62500
2512,30-39,Female,University degree or certificate,40,105000
2514,20-29,Female,University degree or certificate,40,48000
2514,30-39,Male,Non-university postsecondary certificate or diploma,40,70000
2516,30-39,Male,Graduated high school or partial postsecondary education,40,70000
2516,30-39,Female,University degree or certificate,40,72500
2518,50-59,Male,Non-university postsecondary certificate or diploma,4.5,30000
2519,60-69,Female,University degree or certificate,10,15000
2521,50-59,Male,Less than high school graduation,50,12000
